is_toxic	comment
True	Los verdaderos responsables de los atentados del 11-S, el 7-J y otros similares son los mismos que financian, entrenan y protegen a los supuestos terroristas, es decir, los agentes del Nuevo Orden Mundial que buscan instaurar un gobierno mundial tiránico y satánico.
True	porque siempre ustedes hablan de guerra estan enfermos parece hablan de invasión de parte de chile, que chile tiene un satelite que los espia como si todos los chilenos estan preocupados de lo que hacen ustedes los peruanos no son tan importantes , hablas de economia mira una cosa ustedes pueden tener todas las riquezas del mundo pero si no saben distribuirlas y multiplicarlas es problema de ustedes son un pais corrupto ignorante y tambien resentido
True	Una vez más, el mundo vuelve a ver a la derecha mostrando su verdadera cara: la de intolerancia, el exabrupto y la falta de inteligencia del discurso del subnormal
True	Me acuerdo cuando salieron los politonos que era como el «uooo, ¿es Bisbal el que cantaaa?» porque claro, siempre esta la Sgae dando por el culo, y algunos tonos son… ejem… el primo del tío de Movilisto imitando a Shakira… Que cutre!
False	¿Es moralmente aceptable la promoción de vacunas a una población vulnerable sin informarles sobre los posibles efectos secundarios graves?
False	Que atractivas son estas bolitas, se comen con los ojos
False	tengo una mezcla entre depresión y ansiedad pero mis amigos me dicen q la risa es la mejor medicina y trato de seguir su consejo aunque a veces me es muy difícil sonreír sin motivo
True	no hay remedio en este zurdo, solo nos esta acabando el país y el futuro!
False	De modo que la economía mundial se verá afectada al punto que para usar el dinero se tendrá que recurrir a diferentes métodos para conseguirlo y de ahí se va a aprovechar el nuevo orden mundial para tener el control oficial sobre todo el mundo pues lo países mas pobre se verán obligados a pedir cobertura económica de una maner mas fuerte a las potencias económicas siendo la primera, el vaticano quien está al mando del banco mundial
True	Ahora se llena esto de gentuza kasposa catalufa y vascolufa
False	El veganismo es la única opción ética y coherente con los valores progres de justicia y solidaridad.
False	"El Estado Español, ya sea federal, con-federal, autonómico o central, los ciudadanos lo deben decidir, no puede ser cortijo ni patio de una familia de ""supuesta"" sangre azul"
True	Si aquel tipo fuese la mitad de inteligente de lo que cree que es, sería el doble de inteligente de lo que es en realidad
False	No hay salida pacífica ni negociada con el imperialismo y sus títeres, solo la lucha armada, popular y revolucionaria puede garantizar la liberación nacional y social de nuestros pueblos. #FARC
True	ya no solo cuando llamas a un gitano puto gitano o lo que sea, también cuando se le dice a alguien no gitano que es 'muy gitano', o que algo que ha hecho es 'una gitanada'
False	Acaso no es una falta de respeto hablar así de esa manera?
True	Pues qué chingadera es ésa —perdón la palabra compañeros, pero es una fregadera pues— si te enfermaste en martes, ni modo te toca morirte
True	Los Kirchner fueron aprovechadores, chorros y embaucadores, pero una cosa es cierta, nunca se aburrieron lo suficiente como para dejar de trabajar.
True	"Esto se comprende: su dominio y su reparto del mundo están de alguna manera fundados sobre la religión del pretendido ""Holocausto"" de los judíos."
True	El negro es el último en la fila ahí pa’ que lo vean los viejos de la plaza que se sientan ahí todos los días a contar sus penas y dar una lección de vida a quien quiera escuchar
False	No se trata de favorecer o discriminar a los minusválidos, sino de garantizar su igualdad de oportunidades y su plena participación en la sociedad.
True	Es entretenida, pero por Dios que alguien le enseñe dicción a estos españoletes, que solo hablan en su jerigonza inentendible
False	A un viejo matemático que cultiva la literatura infantil es más difícil tacharlo de «feminazi»
True	Qué se cree ese forro que me viene a bardear por mi gusto musical? Que se meta su rock choto en el orto.
False	No es fácil lo que me dices de estar ahora sin trabajo, espero que encuentres algo pronto! Te ha afectado mucho tu bipolaridad a la hora de buscar trabajo? Dices abiertamente que eres bipolar? Yo no lo digo
False	Una de las grandes figuras del feminismo latinoamericano es Rigoberta Menchú, quien dedicó su vida a la defensa de los derechos humanos, de los pueblos indígenas y de las mujeres, y recibió el Premio Nobel de la Paz en 1992
True	Ella lo esperaba a la salida de un bar, él había bebido, iba con unos amigos, alguna que otra mujer, apenas recuerda nada de esa noche, solo que Ava se acercó como un torbellino y lo golpeó, luego le tiró los papeles del divorcio: «Ahí tienes gilipollas» Y se marchó
False	Que nadie se sienta menos por ser diferente, todos somos especiales de alguna forma!
False	De igual manera si tu nicho no se ajusta a TikTok , siempre vale la pena invertir algo de tiempo en esta plataforma ya que la llamada generación z no se quedará varada en el tiempo y puedes estar convencido de que esta será una muy buena inversión a largo plazo ya que los jóvenes de hoy , con sus características de emprendedores irreverentes y revolucionarios , serán los adultos con poder adquisitivo del futuro
